,0
100,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_GOOGLE_YOUTUBE_EXTRA_AFFINITYAUDIENCES_CPV_AFTERNOONSNACK
101,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_GOOGLE_YOUTUBE_EXTRADELICE_AFFINITYAUDIENCES_CPV_AFTERNOONSNACK
102,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONEMAR
103,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_POSITIVE_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE
104,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_ZOOM_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE
105,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME
106,MCMMX_2021_MEX_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST
107,MCMECU_2021_ECU_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_EIKON_BREAKFASTFORONE_CPM-EIKON
108,MCMECU_2021_ECU_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_KIDSCORP_BREAKFASTFORONE_CPCV-KIDSCORP
109,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_GOOGLE-RESERVA_PROMOXBOX_AFFINITYAUDIENCES_CPM_EVENINGME
110,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_XAXISPRE-ROLL_FAMILYBREAKFAST_CPCV-XAXISPRE-ROLL
111,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST
112,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_GOOGLE_GOOGLE-RESERVA_ALOGRANDE_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST
113,MCMMX_2021_MEX_KELLOGGS_CLOSETOYOU_SEASONAL_CLOSETOYOU_WETRANSFER_FAMILYBREAKFAST_CPM-WETRANSFER
114,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRADELICE_INCA_AFTERNOONSNACK_FIXED-INCA
115,MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_POSITIVE_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP
116,MCMPR_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_CLAROMOBILE_EVENINGME_CPM-CLAROMOBILE
117,MCMPR_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPCV-ADMAZING
118,MCMPR_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SPOTIFY_EVENINGME_CPCV-SPOTIFY
119,MCMPR_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SIZMEK_EVENINGME_CPCV-ADMAZING
120,MCMPR_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_SPOTIFY_EVENINGME_CPCV-SPOTIFY
