Start Date,End Date,Month,Brand,Region,Country,Campaign,Platform,Touchpoint,Format,Goal,Investment,Reach,Impressions,CPM,Clicks,CPC,CTR,Views,CPV,VTR,CR,Complete Views,CPCV,Engagement,Sales Price,Sales Quantity,Insertions,File,Buy Type,CPM USD,CPC USD,CPV USD,Unnamed: 28,Unnamed: 29,Unnamed: 30
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,333.33,,31328.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,555.54,,34592.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,555.54,,119648.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-03,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,19983.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,15140.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,14846.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,16182.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-03,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,333.33,,4082.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,333.33,,23103.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,333.33,,30988.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,333.33,,93747.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
