"Mediaplan","Mediaplan Placement","Campaign Name","Target value","Current value"
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-PA","MCMMIA_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","13,143,333","1,363,651"
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","1,406,250.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-PA","MCMPR_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO","631,633.33","2,163.00"
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","25,000,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PR","MCMMIA_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_GOOGLE_YOUTUBE_YOSOY_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","4,875,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Audio-PR","MCMPR_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_AUDIO_BREAKFASTFORONE_CPM-AUDIO","1,818,182",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Admazing-PR","MCMPR_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_SIZMEK_BREAKFASTFORONE_CPM-ADMAZING","2,500,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PR","MCMMIA_2021_PRI_KELLOGGS_KOMPLETE_SEASONAL_GOOGLE_YOUTUBE_KOMPLETE_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","2,875,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Audio-PR","MCMPR_2021_PRI_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_AUDIO_BREAKFASTFORONE_CPM-AUDIO","600,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","249,997.50",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","249,997.50",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","229,065.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-DO","MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_VERANOX2_AFFINITYAUDIENCES_CPV_EVENINGME","249,997.50",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Admazing-PR","MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SIZMEK_EVENINGME_CPCV-ADMAZING","651,162.79",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis PUSH NOTIFICATION ADS-PR","MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS","60,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Claro Mobile-SV","MCMPR_2021_SLV_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_CLAROMOBILE_FAMILYBREAKFAST_CPM-CLAROMOBILE","1,312,500",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-DO","MCMPR_2021_DOM_KELLOGGS_KOMPLETE_SEASONAL_KOMPLETE_SIZMEK_BREAKFASTFORONE_CPV-XAXIS-VIDEO","33,333.33","8,734.00"
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Eikon-PA","MCMPR_2021_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPV-EIKON","195.12",""
"2021_ktbo_kube_Adverity_Mediaplan_Enero-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_365BOWLS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","16,666,667","6,505,150"
"2021_ktbo_kube_Adverity_Mediaplan_Enero-Caricam","Youtube-PR","MCMMIA_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_365BOWLS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","1,625,000.00","1,100,784.00"
"2021_ktbo_kube_Adverity_Mediaplan_Enero-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","6,780,017","10,976,336"
