"Mediaplan","Mediaplan Placement","Campaign Name","Buying unit","Planned Costs ($)","Costs ($)","Target value","Current value","Current delivery (%)","Delivery status"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-PA","MCMMIA_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","$ 1,549.00","$ 1,549.00","2,581,667","3,163,280","123 %","≥ 110%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","Impressions","$ 2,000.00","$ 3,000.00","5,263,158","6,745,692","128 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Youtube-CO","MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","Video Views","","$ 3,773.22","1,793,950.00","2,358,798.00","131 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-PR","MCMMIA_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_365BOWLS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","Video Views","","$ 10,166.57","1,625,000.00","2,201,568.00","135 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_BENEFICIOSCEREAL_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 706.11","1,644,444","2,249,464","137 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Youtube-CO","MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_ALWAYSON_AFFINITYAUDIENCES_CPV_EVENINGME","Video Views","","$ 4,836.47","2,065,852.82","2,835,136.00","137 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALWAYSCLOSETOYOU_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 56,550.24","120,705,345","186,663,178","155 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-GT","MCMPR_2021_GTM_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","$ 8,779.24","140,166.67","219,568.00","157 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAFELICIDAD_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 706.11","1,644,444","2,679,156","163 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Facebook and Instagram-CO","MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 5,820.28","25,097,795","40,937,427","163 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-SV","MCMPR_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","$ 4,681.60","71,766.67","117,100.00","163 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook-MX","MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 3,227.84","7,517,271","12,560,326","167 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Instagram-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 9,732.82","13,783,784","23,103,430","168 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Youtube-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_GOOGLE_YOUTUBE_EXTRA_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","Video Views","","$ 104,571.40","32,185,743.59","54,841,909.00","170 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Instagram-MX","MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRADELICE_FACEBOOK_INSTAGRAM_REACH_CPM_AFTERNOONSNACK","Impressions","","$ 3,589.04","4,957,661","8,495,424","171 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","Facebook and Instagram-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE","Impressions","","$ 19,465.65","32,176,656","55,336,056","172 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-DO","MCMMIA_2021_DOM_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE","Video Views","","$ 2,451.89","825,000.00","1,434,331.00","174 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Xaxis - Video-CR","MCMPR_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","Video Views","","$ 5,260.80","71,800.00","131,543.00","183 %","≥ 110%"
