,Campaign Name
150,MCMMIA_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_GOOGLE - RESERVA_INCANSABLES_AFFINITY AUDIENCES_CPM_BREAKFAST FOR ONE
151,MCMCO_2020_COL_KELLOGGS_MASTERBRAND_SEASONAL_INCANSABLES_CANAL RCN -DISPLAY_BREAKFAST FOR ONE
152,MCMCO_2020_COL_KELLOGGS_CHOCO KRISPIS_SEASONAL_EXPERIENCIA CHOCOKRISPIS_SNAPCHAT - DISPLAY-STANDARD BANNER_FAMILY BREAKFAST
153,MCMMIA_2020_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_GOOGLE - RESERVA_ARMA LA RUMBA_AFFINITY AUDIENCES_CPM_EVENING ME
154,MCMPR_2020_CRI_KELLOGGS_SPECIAL K_SEASONAL_REPOSICIONAMIENTO_XAXIS - DISPLAY_BREAKFAST FOR ONE_CPM-XAXIS - DISPLAY
155,MCMPR_2020_CRI_KELLOGGS_SPECIAL K_SEASONAL_REPOSICIONAMIENTO_EIKON_BREAKFAST FOR ONE_CPM-EIKON
156,MCMPR_2020_PAN_KELLOGGS_CHOCO KRISPIS_SEASONAL_REFORMULACION_XAXIS - VIDEO_FAMILY BREAKFAST_CPV-XAXIS - VIDEO
157,MCMMIA_2020_GTM_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPV_FAMILY BREAKFAST
158,MCMMIA_2020_CRI_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPV_FAMILY BREAKFAST
159,MCMMIA_2020_SLV_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPV_FAMILY BREAKFAST
160,MCMMIA_2020_PAN_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPV_FAMILY BREAKFAST
161,MCMMIA_2020_GTM_KELLOGGS_MASTERBRAND_SEASONAL_XAXIS_YOUTUBE_DESPIERTA MUCHO MAS_AFFINITY AUDIENCES_CPV_BREAKFAST FOR ONE
162,MCMMIA_2020_CRI_KELLOGGS_MASTERBRAND_SEASONAL_XAXIS_YOUTUBE_DESPIERTA MUCHO MAS_AFFINITY AUDIENCES_CPV_BREAKFAST FOR ONE
163,MCMMIA_2020_GTM_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
164,MCMMIA_2020_CRI_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
165,MCMMIA_2020_SLV_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
166,MCMMIA_2020_PAN_KELLOGGS_CHOCO KRISPIS_SEASONAL_XAXIS_YOUTUBE_REFORMULACION_AFFINITY AUDIENCES_CPM_FAMILY BREAKFAST
167,MCMMIA_2020_SLV_KELLOGGS_MASTERBRAND_SEASONAL_XAXIS_YOUTUBE_DESPIERTA MUCHO MAS_AFFINITY AUDIENCES_CPV_BREAKFAST FOR ONE
168,MCMMIA_2020_PAN_KELLOGGS_MASTERBRAND_SEASONAL_XAXIS_YOUTUBE_DESPIERTA MUCHO MAS_AFFINITY AUDIENCES_CPV_BREAKFAST FOR ONE
169,MCMPR_2020_CRI_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - DISPLAY_BREAKFAST FOR ONE
170,MCMPR_2020_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - DISPLAY_BREAKFAST FOR ONE
171,MCMPR_2020_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - DISPLAY_BREAKFAST FOR ONE
172,MCMPR_2020_GTM_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - VIDEO_BREAKFAST FOR ONE
173,MCMPR_2020_CRI_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - VIDEO_BREAKFAST FOR ONE
174,MCMPR_2020_SLV_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - VIDEO_BREAKFAST FOR ONE
175,MCMPR_2020_PAN_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - VIDEO_BREAKFAST FOR ONE
176,MCMMIA_2020_NIC_KELLOGGS_MASTERBRAND_SEASONAL_XAXIS_YOUTUBE_DESPIERTA MUCHO MAS_AFFINITY AUDIENCES_CPV_BREAKFAST FOR ONE
177,MCMPR_2020_NIC_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTA MUCHO MAS_XAXIS - VIDEO_BREAKFAST FOR ONE
178,MCMPR_2020_PRI_KELLOGGS_ZUCARITAS_SEASONAL_MISSION TIGER_ADMAZING_BREAKFAST FOR ONE
179,MCMMIA_2020_PRI_KELLOGGS_ZUCARITAS_SEASONAL_XAXIS_YOUTUBE_MISSION TIGER_AFFINITY AUDIENCES_CPV_BREAKFAST FOR ONE
180,MCMPR_2020_PRI_KELLOGGS_ZUCARITAS_SEASONAL_MISSION TIGER_CONNECTED TV_BREAKFAST FOR ONE
181,MCMMIA_2020_GTM_KELLOGGS_FROOT LOOPS_SEASONAL_XAXIS_YOUTUBE_FROOT LOOPS JUMBO_AFFINITY AUDIENCES_CPV_MID-MORNING SNACK
